full_name,events,jpar_rank,system_rank,jpar,system,rank_delta_vs_jpar
Gracie Jing,2,1111,1,2.578430513496185,trueskill_conservative,-1110.0
Valentina Taborda,2,1110,1,2.5641912063818326,trueskill_conservative,-1109.0
Evelyn Saavedra,1,1109,1,2.555814548352393,trueskill_conservative,-1108.0
Kristi Frohreich,1,1238,130,5.464369555919892,msp_like_score,-1108.0
Sruti Sreerama,2,1108,1,2.552553817345016,trueskill_conservative,-1107.0
Neha Bandi,2,1107,1,2.55178239235798,trueskill_conservative,-1106.0
Adele Tiffith,1,1106,1,2.5515101771961968,trueskill_conservative,-1105.0
Kathy Johnson,5,1105,1,2.545396696986246,trueskill_conservative,-1104.0
Elizabeth Gray,2,1104,1,2.54368289651323,trueskill_conservative,-1103.0
Alison Hansel,1,1103,1,2.5401947222621377,trueskill_conservative,-1102.0
Anne Kosek,1,1102,1,2.540006149054885,trueskill_conservative,-1101.0
Shirley Schmidt,2,1101,1,2.5338821718086253,trueskill_conservative,-1100.0
Leslie Cameron,1,1100,1,2.5279011853219004,trueskill_conservative,-1099.0
Nathan Haskins,1,1099,1,2.526888036070314,trueskill_conservative,-1098.0
Elizabeth Halperin,1,1098,1,2.5259006012219736,trueskill_conservative,-1097.0
Sarah Zimerman,2,1097,1,2.521817384468366,trueskill_conservative,-1096.0
Tracy Hardy,1,1096,1,2.5175728525499026,trueskill_conservative,-1095.0
Megan Bodway,2,1095,1,2.502759715403776,trueskill_conservative,-1094.0
Debby Kilgore,1,1094,1,2.50029373001238,trueskill_conservative,-1093.0
Vicky Vetter,1,1237,145,5.341478845932001,weighted_log_zscore,-1092.0
Tabare Gowon,1,1093,1,2.4986891120645915,trueskill_conservative,-1092.0
Sean McGinty,1,1092,1,2.4930594708325664,trueskill_conservative,-1091.0
Jamie Felicetti,1,1091,1,2.492802376475701,trueskill_conservative,-1090.0
Alison satinoff,2,1090,1,2.490289742488196,trueskill_conservative,-1089.0
Lucy Cruz,2,1089,1,2.48750140832953,trueskill_conservative,-1088.0
Erica Emmons,1,1088,1,2.483080215936317,trueskill_conservative,-1087.0
Rachelle Martineau,2,1087,1,2.473933661641946,trueskill_conservative,-1086.0
Amy Ellenberger,2,1086,1,2.472938653841962,trueskill_conservative,-1085.0
Jeanette Ward,3,1085,1,2.4712553982910426,trueskill_conservative,-1084.0
Thuy-Tien Nguyen,1,1084,1,2.464104867858745,trueskill_conservative,-1083.0
Michelle Wilson,1,1083,1,2.461610414768743,trueskill_conservative,-1082.0
Jamie Stewart,1,1082,1,2.4607586293817976,trueskill_conservative,-1081.0
Connie Buckwalter,2,1081,1,2.451706501184628,trueskill_conservative,-1080.0
Karla Matute,3,1080,1,2.4444129453931054,trueskill_conservative,-1079.0
Becky Gutierrez,1,1079,1,2.4431448800952,trueskill_conservative,-1078.0
Kristin Desrosiers,1,1078,1,2.443006556608486,trueskill_conservative,-1077.0
Kevin Stone,1,1077,1,2.433392358264994,trueskill_conservative,-1076.0
Mikayla Taylor,1,1240,165,6.720224730237368,elo_rating,-1075.0
Jess Fogarty,1,1076,1,2.4332153953261164,trueskill_conservative,-1075.0
Jenn Thompson,3,1075,1,2.4314838335685227,trueskill_conservative,-1074.0
Julie Lance,1,1074,1,2.4296557468153868,trueskill_conservative,-1073.0
Vicky Vetter,1,1237,165,5.341478845932001,elo_rating,-1072.0
Megan Heywood,1,1073,1,2.426053289285995,trueskill_conservative,-1072.0
Kathy Tieu,2,1072,1,2.425945456204131,trueskill_conservative,-1071.0
Marianne Bruno,4,1071,1,2.425552136194332,trueskill_conservative,-1070.0
Justine Lucca,1,1070,1,2.423648397902615,trueskill_conservative,-1069.0
Mary Ellenberger,1,1069,1,2.4229444599059446,trueskill_conservative,-1068.0
Chris Courtney,1,1068,1,2.4228205028879164,trueskill_conservative,-1067.0
Stefanie Izumizaki,1,1067,1,2.414411657379026,trueskill_conservative,-1066.0
Jessica Anderson,1,1066,1,2.413004595549662,trueskill_conservative,-1065.0
Himakshi Bhatt,1,1065,1,2.41171283305079,trueskill_conservative,-1064.0
Diane Ryu,1,1064,1,2.4117029383441784,trueskill_conservative,-1063.0
Michelle Lewandowski,2,1063,1,2.4077389946249266,trueskill_conservative,-1062.0
Amanda Frost,1,1062,1,2.4048415271615973,trueskill_conservative,-1061.0
Yolanda Orta-Swope,1,1061,1,2.402091374697568,trueskill_conservative,-1060.0
Kristine Wolfe,1,1060,1,2.3989506707257755,trueskill_conservative,-1059.0
Jessica Scheideler,1,1059,1,2.3986614191426416,trueskill_conservative,-1058.0
Mareda Shurts,1,1058,1,2.392762099483232,trueskill_conservative,-1057.0
Erin DeRubeis,1,1057,1,2.391431535074781,trueskill_conservative,-1056.0
Mackendrick Zavitz,1,1056,1,2.390713816368455,trueskill_conservative,-1055.0
David Harris,4,1055,1,2.389863291217053,trueskill_conservative,-1054.0
Cierra McPeak,2,1054,1,2.3892905336582637,trueskill_conservative,-1053.0
Pavitra Chari,2,1053,1,2.386512734079424,trueskill_conservative,-1052.0
Amy Wiedner,1,1052,1,2.3832194262712925,trueskill_conservative,-1051.0
Jessica Norman,1,1051,1,2.383007462936224,trueskill_conservative,-1050.0
Julia Gabler,1,1050,1,2.380143273615228,trueskill_conservative,-1049.0
Kelli Ryan,1,1049,1,2.376299781718316,trueskill_conservative,-1048.0
Annabella Roiger,3,1048,1,2.375665075485627,trueskill_conservative,-1047.0
Theresa Rudolph,1,1047,1,2.367716957667187,trueskill_conservative,-1046.0
Isabelle Petrucci,1,1046,1,2.3669631178633006,trueskill_conservative,-1045.0
Vy Nguyen,1,1045,1,2.361462283444485,trueskill_conservative,-1044.0
Jane Davis,2,1044,1,2.3540357632658697,trueskill_conservative,-1043.0
Phoebe Wood,1,1043,1,2.346274357111374,trueskill_conservative,-1042.0
Jeremiah Mercury,1,1042,1,2.3396175560637693,trueskill_conservative,-1041.0
Jennifer Narozny,1,1041,1,2.337154937362547,trueskill_conservative,-1040.0
Inge Werts,1,1040,1,2.333445073422549,trueskill_conservative,-1039.0
Elizabeth Pratt,1,1039,1,2.3311097025770136,trueskill_conservative,-1038.0
Melissa Revelle,1,1038,1,2.3290600872624694,trueskill_conservative,-1037.0
Sarah Snider,1,1037,1,2.3275243918929696,trueskill_conservative,-1036.0
Anna Locke,1,1036,1,2.326607268107316,trueskill_conservative,-1035.0
Jackie Searfino,1,1035,1,2.3182793904258423,trueskill_conservative,-1034.0
Melissa Crone,1,1034,1,2.317129174754268,trueskill_conservative,-1033.0
Rebecca Bertagnoli,1,1033,1,2.3079888608739534,trueskill_conservative,-1032.0
Elaine Brenner,1,1032,1,2.307654800460312,trueskill_conservative,-1031.0
Sarah Mathis,1,1031,1,2.307277784108723,trueskill_conservative,-1030.0
Michelle Abbott,1,1030,1,2.3072646098118548,trueskill_conservative,-1029.0
Danielle Swales,2,1029,1,2.306150982287874,trueskill_conservative,-1028.0
Krystal Chavez,1,1028,1,2.3032134332296064,trueskill_conservative,-1027.0
Lisa Peterson,1,1027,1,2.3025925716268403,trueskill_conservative,-1026.0
Vicky Vetter,1,1237,211,5.341478845932001,conservative_log_zscore,-1026.0
Caroline Meyer,1,1026,1,2.2985677592708478,trueskill_conservative,-1025.0
Jaidah Dance,1,1025,1,2.2972219901252564,trueskill_conservative,-1024.0
Susan Hann,2,1024,1,2.294788496805557,trueskill_conservative,-1023.0
Debby Kilgore,1,1094,72,2.50029373001238,msp_like_score,-1022.0
Stephanie Gildenmeister,2,1023,1,2.292050982603351,trueskill_conservative,-1022.0
Lauren O'Keefe,1,1022,1,2.290235100405692,trueskill_conservative,-1021.0
Robert Curtin,1,1021,1,2.289800598209203,trueskill_conservative,-1020.0
Betsy Lancaster,1,1020,1,2.287820998106377,trueskill_conservative,-1019.0
Michal Jankowski,1,1019,1,2.285192909280501,trueskill_conservative,-1018.0
Angela Wald,1,1018,1,2.2850270223663918,trueskill_conservative,-1017.0
Debbie Thompson,1,1017,1,2.282334790026418,trueskill_conservative,-1016.0
Patrick Madigan,1,1016,1,2.275378616289917,trueskill_conservative,-1015.0
Maurice Werner,2,1015,1,2.266030378576076,trueskill_conservative,-1014.0
Vicky Vetter,1,1237,223,5.341478845932001,weighted_event_percentile,-1014.0
Susan Miller,2,1014,1,2.266021782876084,trueskill_conservative,-1013.0
Cristina Wood,2,1013,1,2.26239863758891,trueskill_conservative,-1012.0
Ashley Mixson,1,1011,1,2.2555442677578483,trueskill_conservative,-1010.0
Ashley Stanley,1,1011,1,2.2555442677578483,trueskill_conservative,-1010.0
Chelsea Linn,2,1010,1,2.248405669440908,trueskill_conservative,-1009.0
Kate Johnson,1,1009,1,2.242941028957711,trueskill_conservative,-1008.0
Gloria Johnston,7,1008,1,2.2409997211759087,trueskill_conservative,-1007.0
Dawn Pratt,1,1007,1,2.233490038187882,trueskill_conservative,-1006.0
Kendelle Leckie,2,1006,1,2.2256684413063117,trueskill_conservative,-1005.0
